Western Cape COVID-19 Cases Allocated to Suburbs. 1 June 2020,
WC- Suburbs,COVID-19 cases
Paarl Farms,1
Griselda,1
Harbour Island,1
Noordhoek Manor,1
Parkdene,1
Langebaan Country Estate,1
Karindal,1
Langeberg Hoogte,1
La Pastorale,1
Groeneweid Park,1
Laaiplek,1
Marlborough Park,1
Penhill,1
Martinville,1
Nerina,1
Langeberg Ridge,1
Ottery East,1
Nu Dawn,1
Kuils River South Small Holdings,1
Nutwood Gardens Estate,1
Heritage Mews,1
Kraaibosch Country Estate,1
Hornlee West,1
Nuwedorp B,1
Kleinbosch,1
NUWERUS,1
JAMESTOWN,1
Langeberg Village,1
Linkside,1
Hoekwil,1
Kleinbron Estate,1
Guldenland,1
Morgen Industrial,1
Klein Begin,1
Paradise,1
Groenvlei,1
Kleinbron Park,1
GROOT BRAKRIVIER,1
Loerie Park,1
OCEAN BREEZE,1
Jood se Kamp,1
Harbour Heights,1
Heiderand,1
Octovale,1
Loumar,1
MILITARY,1

Pearly Beach,1
Olive Grove,1
Kenever,1
Onder Papegaaiberg,1
Haasendal,1
Kanonberg Lifestyle Estate,1
Pella-Katzenberg,1
Helderberg Park,1
HAWSTON,1
Kuils River Industrial,1
Penzance Estate,1
Helgarda Estate,1
KENRIDGE,1
Hemel en Aarde Estate,1
Heerenzicht Estate,1
Molshoop,1
Camphers Drift,1
Bloemhof,1
Blanc Kelly,1
BRANDWAG,1
D'urbanvale,1
Esterhof,1
Bennetsville,1
Courtrai,1
George Industria,1
Brantwood,1
Dennekruin,1
Durbell,1
Bene,1
Bongolethu,1
Graylands,1
Duynefontein,1
De Rust,1
Croydon Vineyard Estate,1
De Wingerd,1
Bay Park,1
Digteby Estate,1
Carey Parks,1
Glen Ridge,1
East-Rural,1
Dennendal,1
ARNISTON,1
Deurdrif,1
Fairy Glen,1
Devil's Peak Estate,1
Cherrywood Gardens,1
Devonvallei,1
Altydgedacht,1
CONCORDIA,1
Die Wingerd,1

Chapmans Peak,1
Fernkloof Village,1
Audas Estate,1
Fernwood Estate,1
Drosdy Park,1
Danarand,1
George Central,1
Avalon Estate,1
Bellville South Industrial,1
Bonnie Brook,1
Delro Village,1
Eikenbosch,1
Belair,1
Admirals Park,1
Glen Valley,1
Florian Park,1
Carwick,1
Briza,1
Denneoord,1
Fontaine Bleau,1
Des Hampden,1
Foreshore,1
Cola Beach,1
Forest Glade,1
Calitzdorp,1
De Goede Hoop Estate,1
Blomtuin,1
De Grendel,1
GRABOUW INDUSTRIAL PARK,1
Big Bay,1
Blomvlei,1
Belhar 17,1
Die Bakke,1
Admiral Island and Port Owen Estates,1
Doornbach,1
Friemersheim,1
Benno Park,1
Clamhall,1
Belle Constantia,1

Western Cape COVID-19 Cases Allocated to Towns - 1 June 2020,
WC- Towns,COVID-19 Cases
Khayelitsha,2834
Unallocated towns,2314
Cape Town,1927
Mitchells Plain,1471
Guguletu,1308
Delft,1146
Athlone,953
Philippi,807
KRAAIFONTEIN,706
Blue Downs,645
BELLVILLE,611
Milnerton,603
PAARL,555
NYANGA,538
Parow,485
Langa,437

FISH HOEK,404
Grassy Park,384
Strand,373
MATROOSFONTEIN,365
Eerste River,340
Belhar,302
KUILS RIVER,302
Worcester,294
Elsies River,275
Goodwood,245
Ceres,205
STELLENBOSCH,195
Brackenfell,193
Hout Bay,192
Atlantis,174
Macassar,155
Wellington,136
MALMESBURY,135
Durbanville,133
Muizenberg,108
Somerset West,100
GEORGE,91
Kommetjie,90
BLACKHEATH,85
CITY OF CAPE TOWN RURAL,64
CONSTANTIA,56
Saldanha,45
Knysna,43
PORTERVILLE,38
GRABOUW,37
Hermanus,37
Gordons Bay,35
Vredenburg,34
Mossel Bay,31
ROBERTSON,25
Franschhoek,24
MAMRE,24
Wolseley,24
Tulbagh,23
Oudtshoorn,21
Blouberg,19
DE DOORNS,19
Plettenberg Bay,18
KLAPMUTS,17
DARLING,15
GOUDA,15
Strandfontein,15
GROOT BRAKRIVIER,14
Caledon,13
VILLIERSDORP,13

SIMON'S TOWN,12
Prince Alfred Hamlet,11
Swellendam,11
Bonnievale,10
CLANWILLIAM,10
Noordhoek,10
SARON,10
ST HELENA BAY,9
Moorreesburg,8
Stellenbosch Rural,8
Bot River,7
LANGEBAAN,7
GANS BAY,6
Melkbosstrand,6
NAPIER,6
PNIEL,6
Velddrif,6
Vredendal,6
Bredasdorp,5
GENADENDAL,5
Onrus,5
Riebeek West,5
Sir Lowrys Pass,5
Albertinia,4
Ashton,4
Drakenstein Rural,4
Lamberts Bay,4
Simons Town,4
Vermont,4
Barrydale,3
Calitzdorp,3
Heidelberg,3
Herolds Bay,3
HOPEFIELD,3
Ladismith,3
MONTAGU,3
PIKETBERG,3
Riebeek Kasteel,3
Riversdale,3
Still Bay,3
Struis Bay,3
Vanrhynsdorp,3
Witsand,3
BEAUFORT WEST,2
Brenton-on-Sea,2
Klawer,2
Kleinmond,2
Touws River,2
Welgemoed,2
ARNISTON,1

Cape Point,1
De Rust,1
Die Dorp Op Die Berg,1
Friemersheim,1
HAWSTON,1
Kalbaskraal,1
Klipdale,1
Krantshoek,1
Kwanokuthula,1
NUWERUS,1
Pearly Beach,1
Philadelphia,1
RAWSONVILLE,1
RHEENENDAL,1
Robben Island,1
SAND BAY,1
Scarborough,1
Sedgefield,1
SLANGRIVIER,1
Stanford,1
Stellenbosch Farms,1
Suurbraak,1
Wilderness,1
